	Abiotrophia	Acidaminococcus	Acinetobacter	Actinomyces	Actinotignum	Adlercreutzia	Agathobacter	Akkermansia	Alistipes	Allisonella	Alloprevotella	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Alloscardovia	Anaerococcus	Anaerofilum	Anaerofustis	Anaeroglobus	Anaeroplasma	Anaerostipes	Anaerotruncus	Arcanobacterium	Asteroleplasma	Atopobium	Bacillus	Bacteroides	Barnesiella	Bergeyella	Bifidobacterium	Bilophila	Blautia	Brevundimonas	Butyricicoccus	Butyricimonas	CAG-352	CAG-56	CHKCI002	Campylobacter	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Catabacter	Catenibacterium	Catenisphaera	Cellulosilyticum	Chloroplast	Christensenella	Christensenellaceae_R-7_group	Citrobacter	Cloacibacillus	Clostridia_UCG-014	Clostridia_vadinBB60_group	Clostridioides	Clostridium_sensu_stricto_1	Clostridium_sensu_stricto_13	Clostridium_sensu_stricto_2	Colidextribacter	Collinsella	Comamonas	Coprobacillus	Coprobacter	Coprococcus	Coriobacteriaceae_UCG-002	Coriobacteriaceae_UCG-003	Corynebacterium	DTU089	Defluviitaleaceae_UCG-011	Desulfovibrio	Dialister	Dielma	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eisenbergiella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	Epulopiscium	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelotrichaceae	Erysipelotrichaceae_UCG-003	Erysipelotrichaceae_UCG-006	Escherichia-Shigella	Eubacterium	Ezakiella	F0332	Facklamia	Faecalibacterium	Faecalicoccus	Faecalitalea	Family_XIII_AD3011_group	Family_XIII_UCG-001	Fenollaria	Finegoldia	Flavonifractor	Fournierella	Frisingicoccus	Fructilactobacillus	Fusicatenibacter	Fusobacterium	GCA-900066575	GCA-900066755	Gallicola	Gastranaerophilales	Gemella	Gordonia	Gordonibacter	Haemophilus	Hafnia-Obesumbacterium	Holdemanella	Holdemania	Howardella	Hungatella	Hydrogenoanaerobacterium	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Kocuria	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_NC2004_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-003	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-010	Lacticaseibacillus	Lactobacillus	Lactococcus	Latilactobacillus	Lautropia	Lawsonella	Lelliottia	Leptotrichia	Leuconostoc	Libanicoccus	Ligilactobacillus	Limosilactobacillus	Mailhella	Megamonas	Megasphaera	Merdibacter	Mitsuokella	Mobiluncus	Mogibacterium	Monoglobus	Morganella	Murdochiella	Muribaculaceae	NK4A214_group	Negativibacillus	Negativicoccus	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oscillospira	Oxalobacter	P5D1-392	Paeniclostridium	Paludicola	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Pediococcus	Peptococcus	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Phocea	Porphyromonas	Prevotella	Prevotella_7	Prevotella_9	Prevotellaceae_NK3B31_group	Prevotellaceae_UCG-001	Propionibacterium	Pseudoflavonifractor	Pseudomonas	Pseudopropionibacterium	Pseudoramibacter	Pyramidobacter	RF39	Raoultibacter	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Rothia	Ruminococcus	S5-A14a	SWB02	Saccharimonadaceae	Saccharimonadales	Sanguibacteroides	Sarcina	Scardovia	Selenomonas	Sellimonas	Senegalimassilia	Serratia	Slackia	Sneathia	Solobacterium	Staphylococcus	Stenotrophomonas	Streptococcus	Subdoligranulum	Succinatimonas	Succinivibrio	Sutterella	TM7x	Tannerellaceae	Terrisporobacter	Turicibacter	Tuzzerella	Tyzzerella	UBA1819	UCG-002	UCG-003	UCG-004	UCG-005	UCG-008	UCG-009	UCG-010	Varibaculum	Veillonella	Victivallaceae	Victivallis	Weissella	[Bacteroides]_pectinophilus_group	[Clostridium]_innocuum_group	[Clostridium]_methylpentosum_group	[Eubacterium]_brachy_group	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_eligens_group	[Eubacterium]_hallii_group	[Eubacterium]_nodatum_group	[Eubacterium]_ruminantium_group	[Eubacterium]_siraeum_group	[Eubacterium]_ventriosum_group	[Eubacterium]_xylanophilum_group	[Ruminococcus]_gnavus_group	[Ruminococcus]_torques_group	vadinBE97
MR01	0	0	0	0.00535518247784293	0	0	2.87841058184058	0.645299488580073	4.90802474094305	0	0	0	0	0	0	0	0	0	0.0428414598227435	0.141912335662838	0	0	0	0	28.4627948697352	0.0107103649556859	0	4.42338072669826	0.10978124079578	10.8442445176319	0	0.672075400969288	0.206174525396953	0	0.149945109379602	0	0	0	0	0.0133879561946073	0	0	0	0	0.0455190510616649	0.449835328138806	0.0267759123892147	0.040163868583822	1.46999759016789	0.797922189198597	0	1.25579029105417	0	0	0.0240983211502932	0.722949634508796	0	0	0	0.993386349639864	0	0	0	0	0	0	0	0	0	1.77792058264385	0	0	0.0240983211502932	0	0	0.728304816986639	0	0	0	0.0722949634508796	0	0.112458832034702	0	0	0	0	0	0	2.6695584652047	0	0.0776501459287225	0.374862773449005	0.0267759123892147	0	0	0.160655474335288	0.0240983211502932	0.0348086861059791	0	1.05497094813506	0	0	0	0	0.289179853803518	0	0	0	0	0	0.990708758400943	0	0	0	0	0.797922189198597	0.760435911853696	0.0348086861059791	0	0	0.104426058317937	0.149945109379602	0	0	0.101748467079016	0	0	0	0.0642621897341152	0.152622700618524	0	0.155300291857445	0	0	0	0	0	0	0	0	0	0	0	0	0.0214207299113717	0	0	0	0.0428414598227435	0	0	0	0.672075400969288	0.0133879561946073	0	0	0.307922992475969	0	0	0.0240983211502932	0	0.0696173722119581	0	0	0.0428414598227435	1.78059817388278	0	0.498031970439393	0	0	0.0321310948670576	0	0	0.307922992475969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14868664149731	0.720272043269874	0	4.15294401156719	0	0	0	0	0	0	0	0	0	0	0	0.0267759123892147	0	0	0	0	0.0910381021233299	6.15578225828045	0	0	0	0	0	0.709561678314189	1.14600905025839	0	0	0.0642621897341152	3.47015824564222	0	0	0.631911532385466	0	0	0.0374862773449005	0	0	0.136557153184995	0.0294535036281361	0	0	0.080327737167644	0	0	0.974643210967414	0.838086057782419	0.71223926955311	0	0	0.104426058317937	0	0	0	0.0535518247784293	0
MR02	0	11.0831512261881	0	0.0176588746882105	0	0	0	0	0.258261042315078	0	0	0	0	0.00551839834006578	0	0	0	0	0.354281173432223	0	0	0	0	0	31.1546696686754	0	0	2.36518552855219	0.260468401651105	8.54579166942587	0	0.0695318190848288	0	0	0	0	0.00551839834006578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23592256583449	0	0	0.243913206630907	0	0	0	0	1.29351257091142	0	0	0.00441471867205262	0.281438315343355	0	0	0.473478577577644	0	0	0	0	0.195351301238329	0.199766019910381	0	0	0.0684281394168157	0	0	0	0.231772730282763	0	0	0	10.9297397523343	0	0	0	0	0	0	0	0	0	0	0.0110367966801316	0.701940268856367	0	0	0	0	0.00220735933602631	0	0	0	0	0.00441471867205262	0	0.099331170121184	0	0	0	0	0	0.0739465377568814	0	0.0750502174248946	1.62572015098338	0	0	0	2.14113855594552	1.65883054102377	0	0	0	0	0	0	0	0.0198662340242368	0.187625543562236	0.00220735933602631	0	0	0	0	0	0	0	0	0	0	0	0.179899785886144	0	0	0.00331103900403947	0	0	0.0176588746882105	0	0	0	0	0	0	0	0	0	0.716288104540538	0	0	0.014347835684171	0	0	0.523144162638236	0	0.203077058914421	0	0.156722512857868	0	0.0275919917003289	0.0916054124450919	1.86190759993819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130234200825552	0	0	0	0.00662207800807894	0	0	0	0	0	0	0	0.901706288766748	0	0	0	0	0	0	0	2.68745999161203	0	0	0	1.39836213937267	0	0	0	0.00441471867205262	0	0	0.228461691278723	0	0	0	0	0	0	0	0.00882943734410525	0.387391563472618	0	0	0	0	0.64013420744763	0	0	0	0	3.69622320817606	0	0	0	0	0	3.4644504778933	0.10484956846125	0
MR03	0	0	0	0	0	0	3.20386712382665	0.192513068405373	1.45298184475296	0	0	0	0	0	0	0	0	0	0.453881175875443	0	0	0	0	0	26.8604912596257	0.680119161373728	0	5.92012815468495	0.369568883143162	5.1823955932775	0	0.434208307571244	0	0	1.63846888876398	0	0	0	0	0	0	0	0	0	0	0.191107863526502	0	0	0.823450059018605	0	0	0.265583722106683	0	0	0.0309145073351695	0.78691473216795	0	0.0070260243943567	0	2.8876960260806	0	0	0	0	0	0	2.25956944522511	0	0	1.41785172278118	0	0	0	0	0	0.512899780788039	0	0	0	0.0730706537013097	0	0.772862683379237	0	0.591591254004834	0	0	0	0	8.44106570738013	0	0	0.0323197122140408	0.0070260243943567	0	0	0.0519925805182396	0.0112416390309707	0	0	2.62070709909505	0	0.0168624585464561	0	0	0	0.00843122927322804	0	0.0224832780619414	0.0941487268843798	0	4.05542128042269	0.0266988926985555	0	0	0	0.0927435220055084	0.37800011241639	0.0224832780619414	0	0	0.737732561407453	2.83429824068349	0	0	0.358327244112192	0.0815018829745377	0	0.189702658647631	0.510089371030296	0	0	0	0	0	0	0.0562081951548536	0	0	0	0	0	0	0	0	0	0	0	0	0.386431341689618	0	0	0	0	0	0	0	0.834691698049576	0	0	0.164408970827947	0	0	0.0182676634253274	0	0.00843122927322804	0.0843122927322804	0	0.0421561463661402	0	0	0	0.00421561463661402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08622337136755	0.160193356191333	0.00421561463661402	0	0	0	0	0.00843122927322804	0	0	0	0	0	0	0	0	0	0	0.00281040975774268	0	1.86751728402001	1.67921983025125	0	0	2.11061772806475	0	0	0	0.219211961103929	0	0	0.0351301219717835	1.72137597661739	0.292282614805239	0	0.212185936709572	0	0	0.0295093024562981	0	0.0688550390646956	0	0	0	0	0.0112416390309707	0	0	0.219211961103929	0.0730706537013097	2.84975549435108	0	0	0	0.338654375807993	0	0.0435613512450115	2.39868472823338	0
MR04	0	0	0	0.0224538293134742	0	0	0.799917669292517	0.00467788110697378	2.59154613326348	0.0252605579776584	0	0	0	0	0	0	0	0	1.10491551746721	0.0421009299627641	0	0	0	0	11.8612353348427	0.497726549782011	0	14.7212918436465	0.115075875231555	11.1473906779185	0	0.0065490335497633	0.421944875849035	0	0.128173942331082	0	0	0	0	0	0	0	0	0	0.027131710420448	2.69165278895272	0	0	1.05813670639747	0.0542634208408959	0	0.923413730516625	0	0	0.115075875231555	5.79495911531913	0	0.319031491495612	0	2.64768070654716	0	0	0.00935576221394757	0.0168403719851056	0.0757816739329753	0	0.0916864696966862	0	0	1.14608087120858	0	0.0187115244278951	0.0187115244278951	0	0	0	0.0168403719851056	0	0	0.106655689239002	0.00467788110697378	0.685777370282357	0	0.678292760511199	0	0	0	0.00561345732836854	2.50173081600958	0	0	0.0935576221394757	0.0187115244278951	0.00842018599255281	0	0.0392942012985798	0	0	0	2.03862058641918	0	0.0299384390846322	0.0065490335497633	0	0	0	0	0	0.00748460977115806	0	0	0.00561345732836854	0	0.107591265460397	0	0.13565855210224	0.369552607450929	0.0477143872911326	0	0	0.143143161873398	0.0261961341990532	0	0	0.0832662837041334	0.115075875231555	0	0.00935576221394757	0.23015175046311	0.00280672866418427	0	0	0	0	0.00374230488557903	0	0	0	0	0	0	0	0	0	0.0374230488557903	0	0	0	0.144078738094793	0	0	0	0.246992122448216	0.0252605579776584	0	0	0.252605579776584	0.0467788110697379	0	0.322773796381191	0	0.0130980670995266	0	0	0	1.32384035327358	0	0.0561345732836854	0	0	0	0.0261961341990532	0	1.2321538835769	0.0102913384353423	0.00842018599255281	0.00374230488557903	0	0	2.7122354658234	0	0	0	0	0	0	0	0	0.00561345732836854	0	0.585670714593118	0.440656400276931	0.00280672866418427	10.9396927567689	0	0	0.00467788110697378	0	0.0261961341990532	0	0	0	0.0102913384353423	0.217989259584978	0	0	0	0	0	0	0.509889040660143	1.43798065228374	0	0	0.582863985928934	0	0.00561345732836854	0.418202570963456	0.373294912336508	0	0.0505211159553169	0.417266994742062	2.14434069943678	0.268510375540295	0	1.09088187414629	0	0	0.194599854050109	0	0.0121624908781318	0	0.00561345732836854	0	0	0.0505211159553169	0	0.0327451677488165	2.00400426622757	0.103848960574818	1.17414815785042	0.0205826768706847	0	0.0121624908781318	0.0224538293134742	0.0598768781692645	0	1.05158767284771	0.00561345732836854
MR05	0	0	0	0.0702560442501561	0	0	3.94660540636988	0.0970202515835489	1.22557766080828	0	0	0	0	0	0	0.00446070122223213	0	0	1.44638237130877	0.0156124542778125	0	0	0	0	20.3073423142118	0	0	7.50624498171112	0.18734945133375	10.5183334820234	0	0.206307431528236	0	0	0	0	0	0	0	0.0066910518333482	0	0	0	0	0	0.7148273708627	0	0.00557587652779017	0.564278704612365	0	0	1.30921580872513	0	0	0.250914443750558	3.41020608439647	0	0.143857614416986	0	0.511865465251138	0	0	0	0.0133821036666964	0	0	0	0	0	1.40735123561424	0	0.0546435899723437	0.0100365777500223	0	0	0.0200731555000446	0	0	0	0.0423766616112053	0	1.75528593094835	0	0.285484878222857	0	0	0	0	6.39553037737532	0.0066910518333482	0	0.0479525381389954	0.0289945579445089	0	0	0.353510571861897	0	0	0	3.20835935409046	0	0	0	0	0	0.0546435899723437	0	0	0.0167276295833705	0	2.17682219644928	0.0033455259166741	0	0.0512980640556695	0	0.221919885806049	0.0144972789722544	0.0301097332500669	0	0	0.27210277455616	1.49433490944777	0	0	0.736015701668302	0.111517530555803	0	0.105941654028013	0.100365777500223	0	0.0133821036666964	0	0	0	0	0	0	0	0	0	0	0	0	1.01034882683558	0	0	0	0	0.0289945579445089	0	0	0.362431974306361	0	0	0	0	0	0.0234186814167187	0	0.0713712195557142	0	0	0	0	0	0.207422606833794	1.05384066375234	0	0	0	0	0	0	1.29360335444732	0	0	0	0	0	0	0	0	0.00892140244446427	0	0	0	0	0	0	0	0.621152645195825	0.360201623695245	0	6.101124096708	0	0	0.00223035061111607	0	0	0	0	0	0.0066910518333482	0.104826478722455	0	0.171736997055937	0	0	0.00780622713890624	0	5.93607815148541	2.9284503523954	0.0133821036666964	0	0.969087340529931	0	0	0	0.0200731555000446	0	0	0.00892140244446427	0	0	0	0.327861539834062	0	0	0	0	0	0	0	0	0	0.0613346418056919	0	0.139396913194754	1.50771701311446	0.20407708091712	1.70621821750379	0	0	0	0	0	0.150548666250335	0.727094299223838	0
MR06	0	0	0	0.0200056858264981	0	0	2.43858780916682	0	0	0	0	0	0	0	0	0.0168468933275773	0	0	1.85947585103135	0.032640855822181	0	0	0	0	23.27819485538	0	0	9.07205205690038	0.210586166594716	1.56676107946469	0	0.886567761363756	0	0	0	0	0	0	0	0.00842344666378866	0	0	0	0	0	0	0	0	0	0	0	0.290608909900709	0	0	0.172680656607667	1.92791635517463	0	0.0336937866551546	0	0	0	0	0	0	0	0.490665768165689	0.283238394069894	0	0	0	0	0.279026670737999	0	0	0.0305349941562339	0.0947637749676224	0	0	0	0.754951407242058	0	0	0	0.00210586166594716	0	0	0	0	14.9431943815611	0	0	0.18531582660335	0	0	0.00421172333189433	0.739157444747455	0.462236635675403	0.420119402356459	0	1.08241289629684	0.0147410316616301	0	0.00947637749676224	0	0	0.0105293083297358	0	0	0.259020984911501	0.00526465416486791	0	0.0568582649805734	0	0.427489918187274	0	0.130563423288724	1.26035820706938	0	0	0	1.24982889873964	0.868667937203205	0	0	1.68468933275773	0	0	0	0	0.012635169995683	0	0	0	0	0.0789698124730187	0.00421172333189433	0	0	0	0	0	0	0	0	0	0	0	0	0.0157939624946037	0	0	0	0	0	0	0	0	0.124245838290883	0	0	0	0	0	0	0	0.52330662398787	0	0.201109789097954	0	0	0	0	0.0147410316616301	0	0.0294820633232603	0.0210586166594716	0	0	0.0105293083297358	0	0	0	0	0	0	0	0	0	0	0	0.385372684868331	0.0694934349762564	0	1.72364777357775	0	0	0	0	0	0	0	0.00421172333189433	0.995019637160035	0	0	0	0	0.00421172333189433	0	0	0.788645193897213	0	0	0	2.37435902835543	0	0	0.0147410316616301	0.365366999041833	0.309561664894233	0	0.0558053341475998	0	0	0	0	0	0	0	0.00315879249892075	2.95768270982279	0	0	0	0	0.322196834889916	0	0.0631758499784149	0.496983353163531	7.09675381424194	0.306402872395312	0	0	0	0	0.0779168816400451	5.87535404799259	1.82894085687511	0
MR07	0	2.25621453936895	0	0.0704110371851912	0.0030613494428344	0	3.93485448385648	0.0775541858851382	3.40524103024613	0	0	0	0	0.0122453977713376	0.0061226988856688	0	0.00204089962855627	0	0.0602065390424099	0.13674027511327	0	0	0.0214294460998408	0	36.942324176497	0.619413037266827	0	3.53687905628801	0.36634148332585	4.10424915302665	0	0.211233111555574	0.293889546512103	0.0132658475856157	0	0	0.00510224907139067	0	0	0.0061226988856688	0	0	0	0	0	0.103065431242092	0	0	0	0	0	0.147965223070329	0	0	0.515327156210458	1.15310829013429	0	0.319400791869056	0.0183680966570064	0.320421241683334	0	0	0	0.0132658475856157	0.0163271970284501	0	0.030613494428344	0.0030613494428344	0	0.175517368055839	0	0.170415118984448	0.878607290093473	0	0.10918813012776	0	0.0091840483285032	0	0	0.238785256541083	0	0	0	7.44520184497326	0.0265316951712315	0.0204089962855627	0	0	5.60635127964407	0	0	0.0520429405281848	0.0091840483285032	0.0581656394138536	0	0.36634148332585	0	0	0	0.467366014939385	0.0142862973998939	0.0163271970284501	0.00510224907139067	0.00204089962855627	0	0	0	0.00510224907139067	0.00204089962855627	0	0	0.0357157434997347	0	0.277562349483652	0	0.173476468427283	0.140822074370382	0.0785746356994163	0	0	0.463284215682273	0.154087921955998	0.00816359851422507	0	0	0.0163271970284501	0	0	0.126535776970489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632678884852443	0	0	0	0.0183680966570064	0.053063390342463	0	0	0.300012245397771	0	0	0.932691130250214	0	0	0	0	0.0061226988856688	0.219396710069799	0	0.497979509367729	0.0428588921996816	0	0.00510224907139067	0.061226988856688	0.07653373607086	2.03885872892771	0.0234703457283971	0.0122453977713376	0.0642883382995224	0	0	0	0	0	0	0	0	0	0.0969427323564227	0	0	0.00204089962855627	4.36140250622474	0.0704110371851912	0	2.21029429772644	0	0	0	0	0	0	0	0	0.124494877341932	0	0	0	0	0	0	0	0.0387770929425691	3.40013878117474	0	0	0.0112249479570595	0.0091840483285032	0	0.0193885464712845	0.234703457283971	0.150006122698886	0	1.03677701130658	0.138781174741826	0	0	0.380627780725744	0	0	0	0.00510224907139067	0.00510224907139067	0	0.00408179925711254	0	0	0.132658475856157	0	0.015306747214172	0.712273970366137	0.0540838401567411	0.927588881178824	0	0	0.0061226988856688	0.0275521449855096	0.0091840483285032	0.990856769664068	2.52357239070982	0
MR08	0	0	0	0.00562999662200203	0	0	0.102465938520437	0.052921968246819	3.0615921630447	0	0	0	0	0	0	0	0	0	0.297263821641707	0.0101339939196036	0	0	0	0	22.5413804751717	1.05956536426078	0	2.35784258529445	0.615921630447022	3.44555793266524	0	0.0810719513568292	0.775813534511879	0	0.253349847990091	0	0.00900799459520324	0	0	0	0	0	0	0	0	2.18106069136359	0	0	0.0112599932440041	0.109221934466839	0	1.90631685620989	0	0	0.0686859587884247	5.29107082535751	0	0	0.0146379912172053	0.717261569643058	0	0	0.00225199864880081	0	0.00900799459520324	1.05280936831438	0.574259655444207	0.0371579777052134	0	0.247719851368089	0	0.401981758810945	0	0	0	0	0	0	0	0.0653079608152235	0	0	0	0.512329692602184	0	0	0	0	4.90823105506137	0	0.0641819614908231	0.047291971624817	0.0123859925684045	0.00562999662200203	0	0.930075441954735	0.629433622339827	0.00788199527080284	0	0.492061704762977	0.0101339939196036	0.0225199864880081	0	0	0.0258979844612093	0	0	0.0450399729760162	0.0123859925684045	0	0	0.0123859925684045	0	0.0225199864880081	0	0.275869834478099	0.398603760837743	0.146379912172053	0.0765679540592276	0	3.77660173403896	0.0270239837856097	0	0	0.130615921630447	0.100213939871636	0	0	0.0146379912172053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112599932440041	0	0	0	0.00788199527080284	0	0	0	0.264609841234095	0.0923319446008332	0	0	0.182411890552866	0	0	0.287129827722103	0.00788199527080284	0.0304019817588109	0	0	0	0.324287805427317	0.0517959689224186	0.00900799459520324	0	0	0.00788199527080284	0	0	0	0	0.0112599932440041	0.0112599932440041	0.00562999662200203	0.00562999662200203	0.161017903389258	0	0	0	0	0	0	0	0	0	0	0.368201779078933	0.00562999662200203	0	0.567503659497804	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00562999662200203	0	0	0.298389820966107	4.63010922193447	0	0	0.11147393311564	0	10.1418759148745	0.207183875689675	0.180159891904065	0	0	0.143001914198851	2.14502871298277	0.0506699695980182	0	0.959351424389145	0	0.0292759824344105	0.0608039635176219	0	0	0	0	0	0	0.0686859587884247	0	0.00562999662200203	0.66771759936944	0.523589685846188	0.38846976691814	0	1.29152122508726	0	0.0405359756784146	0	0	2.42540254475847	0
MR09	0	0	0.00246296319101511	0.0184722239326133	0	0	1.61939829809244	0	3.47647254411783	0	0	0	0	0	0.0184722239326133	0	0	0	0.323879659618487	0	0	0	0	0	44.66830043225	0	0	1.89648165708163	0	1.80042609263205	0	0.245064837506003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78568525793382	0	0	0	0.0467963006292871	0	1.03444454022635	0	0	0	1.18345381328276	0	0.0578796349888551	0	0	0	0	0	0.0455648190337795	0.0172407423371058	0	0	0.0812777853034986	0	1.0590741721365	0.0147777791460907	0.169944460180043	0.999963055552135	0	0.0135462975505831	0	0	0	0	1.77825942391291	0	0	0	2.26469465413839	0	0	0	0	6.85319507899954	0	0	0.181027794539611	0.0246296319101511	0	0	0.45811115352881	0	0	0	0.134231493910324	0	0	0	0	0	0.00492592638203022	0	0	0.0295555582921813	0	0	0	0	0.189648165708164	0.0369444478652267	0.183490757730626	0.183490757730626	0.469194487888378	0	0	0.591111165843626	0.975333423641984	0	0	0	0.540620420427817	0	0	0.43840744800069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13785204980112	0	0	0	0	0	0	0.00246296319101511	0	0	0	1.37679642377745	0	0	0.0172407423371058	0	0	0.532000049259264	1.01474083469823	0	0	0	0	0	0	1.63787052202505	0.05541667179784	0	0.00246296319101511	0	0	0	0	0	0	0	0	0.0270925951011662	0	0	0	0	1.13788899424898	0.124379641146263	0.011083334359568	1.10340750957477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0701944509439306	0.634213021686391	0	0	2.64891691193675	0	0	0	0	0	0.00246296319101511	0.302944472494859	1.0098149083162	0.0406388926517493	0	2.36567614497001	0	0	0	0	0.00985185276406044	0	0	0	0	0.294324101326306	0	0	0.577564868293043	1.04060194820388	0	0	0	0	0	0.11083334359568	2.45187985665554	2.27454650690245	0
MR10	0	4.01058970099668	0	0.0737126245847176	0	0	1.46802325581395	0	2.39098837209302	0.51702657807309	0	0	0.0207641196013289	0	0	0	0	0	0.432931893687708	0.132890365448505	0	0	0	0	28.8963870431894	0	0	0.449543189368771	0.53156146179402	10.9229651162791	0	0.561669435215947	0	0	0	0	0	0	0	0.00311461794019934	0	0	0	0	0	0	0	0	0	0	0	0.095514950166113	0	0	0.181686046511628	6.60506644518272	0	0	0.0269933554817276	0	0	0	0	0	0	0.0249169435215947	1.85527408637874	0	0	0.0789036544850498	0	0.122508305647841	0	0	0.532599667774086	0.203488372093023	0	0	0	0.339493355481728	0	0	0	5.95203488372093	0.216985049833887	0	0	0	0.188953488372093	0	0	0.0425664451827243	0	0	0	0.24813122923588	0.056063122923588	0	0	0.0352990033222591	0	0	0	0	0	0.00207641196013289	0	0	0	0	0	0.0249169435215947	0	0.134966777408638	0	0.0830564784053156	0	0.0269933554817276	0	0	1.74730066445183	0.389327242524917	0	0	0.00726744186046512	0.0757890365448505	0	0	0.018687707641196	0	0	0.00519102990033223	0.0114202657807309	0	0	0	0	0	0	0.363372093023256	0	0	0	17.140780730897	0	0	0	0	0	0	0	0	0	0	0	0	0.39140365448505	0	0	0.198297342192691	0	0	0	0	0	1.11814784053156	0	1.97466777408638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316652823920266	0.259551495016611	0.00207641196013289	0	0	0	0	0	0	0	0	0	0	0.240863787375415	0	0	0	0.00622923588039867	0	0	1.31436877076412	0.0581395348837209	0	0	0.037375415282392	0	0	0.184800664451827	0.182724252491694	0	0	0.143272425249169	0	0	0	0	0	0	0	0	0.00311461794019934	0	0	0	0	0.542981727574751	0	0.155730897009967	0.00934385382059801	0	0.0436046511627907	0	0	0	0	0	0.301079734219269	1.49605481727575	0
