	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Elusimicrobiota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Synergistota	Verrucomicrobiota
MR01	5.89337831686615	35.6762256673896	0	0.289179853803518	0.10978124079578	0	55.096794923287	0	0	1.29327656839907	0.040163868583822	0.811310145393204
MR02	2.69408206962011	31.9360748736287	0.00551839834006578	0	0.260468401651105	0	52.5528110721144	0.00220735933602631	0	12.5488378253096	0	0
MR03	6.73374177955146	29.9125962565342	0	0	0.369568883143162	0	59.8884267326176	0	0.00843122927322804	2.89472205047496	0	0.192513068405373
MR04	21.0747899631383	19.708848679902	0	0	0.115075875231555	0	57.3863742679116	0	0.00467788110697378	1.3378739965945	0	0.0159047957637109
MR05	11.3413328575252	23.1566152199126	0	0	0.18734945133375	0	63.9207333392809	0	0.00223035061111607	1.28468195200285	0.00557587652779017	0.0970202515835489
MR06	11.5053752119023	23.8383540585219	0	0	0.701251934760406	0	60.1465679719499	0.0147410316616301	0	3.79370979120382	0	0
MR07	4.9746928446059	41.8884444263031	0.00510224907139067	0	0.36634148332585	0	44.2589493448712	0.0142862973998939	0.0091840483285032	8.1013510755541	0.0969427323564227	0.0816359851422507
MR08	8.10381713770972	38.5046728971963	0.00900799459520324	0.0258979844612093	1.6687309987614	0	49.7556581466051	0.0101339939196036	0	1.86915887850467	0	0.052921968246819
MR09	3.27943548883662	49.7087546026625	0	0	0	0	41.8063372042905	0	0	5.20547270421044	0	0
MR10	7.51453488372093	32.8239202657807	0	0	0.556478405315615	0	50.2522840531561	0	0	8.85278239202658	0	0
MR11	6.97574146126128	32.1089427054995	0	0	0	0	55.7463889373672	0	0	5.16892689587205	0	0
MR12	30.4574465012851	7.61688855517371	0.0115516793253819	0	0.0505385970485459	0	58.2782221965518	0	0	3.43518063938545	0	0.150171831229965
MR13	14.9481118477948	30.2897088498126	0	0	0	0	46.9717497837994	0	0	4.23897376765639	0	3.55145575093687
MS01	20.7748590620127	29.6732294933087	0	0	0.221045597080142	0	47.1872376154492	0	0	2.14362823214928	0	0
MS02	13.0665568175131	15.1697757900312	0	0	0.196551521214618	0	68.9436826928736	0	0	1.61007473665627	0	0
MS03	14.570451734924	27.1913872117553	0	0.0109114715938023	0.40008729177275	0	57.3761547974103	0	0	0.451007492543828	0	0
MS04	12.3989076777649	25.1286629555719	0.0192556804257256	0	0.0857753037145958	0	61.1910513601513	0	0	0.866505619157652	0.0105030984140321	0.0367608444491125
MS05	22.59210092418	23.0258652033112	0	0	0.45913061124405	0	53.1559944870505	0	0	0.766908774214278	0	0
MS06	32.6425509606192	21.5561106485336	0.00925154963456379	0	0.0123353995127517	0	44.0034539118636	0.243624140376846	0	1.37231319579363	0	0.0493415980510069
MS07	8.3131222874649	23.8559484299209	0	0	0	0	63.3041868777126	0	0	1.94664283890733	0.00957365330610161	2.57052591268828
MS08	27.7288180347889	20.8051402229044	0	0	0.0209041599278256	0	36.2665170368903	0	0	15.1786205454885	0	0
MS09	2.46471961087967	36.6828800139595	0.0141775906820512	0	0.324994001788558	0	49.9356555499815	1.40140030972583	0	9.17617292298297	0	0
MS10	8.80865911842199	28.4184291105889	0	0	0.438652709535	0	54.6635334330271	0	0	7.00704977568896	0	0.00996937976215908
MS11	5.08309559389576	36.2756418964815	0	0	0.639632296336548	0	55.5880088756056	0.00226418511977539	0	2.05135171851651	0.0735860163927003	0.131322736946973
MS12	9.03394006075247	40.7412279652707	0.0406611016766725	0	0.715157023607357	0	46.7184099117415	0.0406611016766725	0	2.70396326149872	0	0.00597957377598125
MR14	7.64461776911154	33.7633118344083	0	0	0.226655333899972	0	47.3926303684816	0	0.0133326666999983	8.23458827058647	0	2.71319767344966
MR15	8.58901341172148	35.7221595233721	0	0	0.284769428623921	0	52.6259153303063	0.0118107136295635	0.00524920605758379	2.74402246660193	0	0
MR16	5.78209046862695	33.7261915884732	0	0.632666408617077	0.233579370270018	0	56.7891512393053	0	0	2.62276264331763	0	0.125465490316467
MR17	33.7292208303789	0.047270148900969	0	0	0	0	60.901678090286	0	0	5.31592216182148	0	0
MR18	2.45955804609854	33.9196976104885	0.00528652992175936	0.0066081624021992	0.066081624021992	0	52.0207760625926	0.104408965954747	0	8.13200465214633	0	3.2446077394798
MR19	15.4092302145304	43.839012078601	0	0	0.491256535063999	0	39.1833423472147	0.126194339282495	0	0.793221561204254	0	0.0225347034433027
MR20	4.98031602221863	41.4711751065092	0	0	0.0889823653130561	0	52.0789516259505	0	0	1.30777112657067	0	0
MS13	18.4540139280261	25.2355475005276	0	0	0.125377062204402	0	54.2473031518056	0	0	1.92410342986953	0	0
MS14	5.80344429622746	34.1941575862948	0	0.00749411711806232	0.352223504548929	0	55.8311725295642	0	0	2.75933392287055	0	0.995218753278676
