	ko00010	ko00020	ko00030	ko00040	ko00051	ko00052	ko00053	ko00061	ko00071	ko00072	ko00100	ko00120	ko00121	ko00130	ko00140	ko00190	ko00195	ko00196	ko00230	ko00240	ko00250	ko00253	ko00260	ko00270	ko00280	ko00281	ko00290	ko00300	ko00310	ko00311	ko00312	ko00330	ko00340	ko00350	ko00360	ko00361	ko00362	ko00363	ko00364	ko00380	ko00400	ko00410	ko00430	ko00440	ko00450	ko00460	ko00471	ko00472	ko00473	ko00480	ko00500	ko00510	ko00511	ko00513	ko00514	ko00520	ko00521	ko00523	ko00524	ko00531	ko00532	ko00540	ko00550	ko00561	ko00562	ko00564	ko00591	ko00600	ko00601	ko00620	ko00621	ko00622	ko00623	ko00624	ko00625	ko00626	ko00627	ko00630	ko00633	ko00640	ko00643	ko00650	ko00660	ko00670	ko00680	ko00710	ko00720	ko00730	ko00740	ko00750	ko00760	ko00770	ko00780	ko00785	ko00790	ko00791	ko00830	ko00860	ko00900	ko00903	ko00906	ko00908	ko00910	ko00920	ko00930	ko00941	ko00960	ko00970	ko00983	ko01040	ko01051	ko01053	ko01055	ko01057	ko02010	ko02020	ko02030	ko02040	ko02060	ko03008	ko03010	ko03013	ko03015	ko03018	ko03020	ko03022	ko03030	ko03040	ko03050	ko03060	ko03070	ko03410	ko03420	ko03430	ko03440	ko03450	ko04020	ko04075	ko04110	ko04112	ko04113	ko04122	ko04141	ko04142	ko04144	ko04146	ko04210	ko04510	ko04512	ko04621	ko04626	ko04910	ko04962	ko04974	ko05012	ko05100	ko05110	ko05111	ko05120	ko05130	ko05131	ko05142	ko05143	ko05144	ko05145	ko05146	ko05150	ko05322	ko05410
MR01	1.13310462160951	0.911107633185211	1.80795602392796	0.898718337522265	1.05746154728167	1.35054152285709	0.214521858149607	1.74844213045716	0.330149091442619	0.281470345297017	0.00190742834119154	0.18955243542885	1.70597191885965	0.245259459329901	0.0584813211067795	0.458944868364636	0	0	0.876278678250111	1.15809804248802	1.86218748142091	0	1.09167381543656	1.35495240232979	0.35069748203916	0	2.29493483901451	1.71861873690109	0.166041840151232	0.0274730268876273	0.295851689144762	0.785293348168903	1.40912232904466	0.234887669911553	0.292123445180497	0.0454451406456447	0.157450934981941	0	0	0.158670428305967	1.25238704455798	0.463143621820508	0.674022065266237	0.166528569741857	1.03102054167118	0	2.10792845593542	0.117536089018974	1.57340655382733	0.399986784184748	1.27535075542209	0.0540356773247698	2.08262297456934	0	0	1.2069402838317	1.90094077689104	0	0	0.792595021516671	0	0.557887603758739	1.89663072244588	0.537833115623734	0.204312884105496	0.582560442059468	0	0.644226521951048	0.000605718382212219	1.22726453212578	0.224882270587777	0	0	0	0	0.223784919003679	0.107162250547959	0.687975363653203	0.347265454376281	0.662589020300215	0	0.633760340588609	1.77068323167995	1.78980912495971	0.571054970283742	1.62245688240542	1.08647833118288	1.72588975925617	0.854376453340094	1.07563017973002	1.13214852511363	1.77262308376983	1.42967294435615	0.666212863292624	1.15135712342202	0.049054567652384	0	0.720345427397547	1.30038097870285	0	0.0101274829760176	0.64293054905818	0.633327626224569	0.83431095675135	0.0109233706939255	0.00313019448895974	0.388015772625757	1.62394729827561	0	0.414240698865546	5.51176732147352	0.0255229816334408	2.4262054253322	0	0.727461603862682	0.358188974641322	1.08806022519197	0.573195080222997	0.268807846761973	0.0585124744781255	1.55930317808556	0.0639874258740733	0.00237227328000802	0.613852908754435	1.21644539850812	0.00985405824003332	1.20277184605433	3.61872195255461e-06	0.00434952285087302	1.41278060553275	0.745422256344729	0.879219987616924	0.785833215532202	1.68188683836075	1.50032115653662	0.0111565197797259	0	0	0	1.5138731948589	0	1.08025337665292	0.0557771865492742	0	2.51737179308147e-05	0.215854365774188	0.0328125395121531	0	0	0.0840142809020654	0.20054158874387	0.102082810138075	0	0.056547625669175	0.00182459770028806	0.000199577998595436	0	0.152859812558603	0.157814402951952	0	0	0	0.00312351995735836	0	0	0.0157412363605793	0.00829020688187601	0	0.00137511434197075
MR02	1.06928603309642	1.02632497018451	1.68620648037573	0.938140398429084	1.15602846745431	1.29562106373202	0.348803268887771	1.6215803723349	0.381319960299771	0.327169426153176	0	0.179073012255669	1.61165711030103	0.367423475433184	0.042962224842939	0.473867980043308	0	0	0.872860457407874	1.11389937777589	1.79351142137196	0	1.12330322334163	1.35033501330895	0.385737744819083	0.172153965272432	2.28615353168227	1.63755846879709	0.1794062311782	0.0246188773060898	0.286690578622136	0.858515174210385	1.34522878763116	0.274645851991389	0.377855169052896	0.0598150862739645	0.210149243376084	0	0	0.147922915269428	1.32279210202026	0	0.743896600367324	0.241513831673577	1.14216212238265	0	2.06065952188451	0.151205939916662	1.46532812290462	0.561597512886941	1.14746408936097	0.0686349766335482	2.3450913993657	0	0	1.21721531204576	1.75069811251801	0	0	0.923567107392526	0	0.957530892186981	1.68499171166149	0.471857736686865	0.193400075140906	0.553746440041547	0	0.572812972156866	0.00270183866793502	1.20882603260685	0.280629208697348	0	0.308732118814213	0	0	0	0.127136466201562	0.863833074044327	0.294639729513737	0.646600644687028	0	0.746845675496844	1.8445404805729	1.77509911525735	0.543424292969172	1.5509020888324	1.1421076511147	1.76820283272019	0.932752377393359	1.15759463829204	1.01754171025987	1.83431944833148	2.02596299712967	0.78031875140541	1.23738731098558	0.101655730071237	0	0.699192240329487	1.28147932181793	0	0.00145999727379117	0.637960076640535	0.697783955609858	0.932751248152662	0.0295189622566558	0.00223553034261324	0.491163205146758	1.52531687418999	0	0.384171640991455	4.75084624386605	0.0746664387631123	2.65588563900728	0	0.777814202113002	0.382119880440413	0.579377050660871	0.243421210773237	0.430270945969118	0.0529486680112761	1.44592920011226	0.0516280634650642	0	0.603562744449688	0.956387822257623	0	1.14841746112697	0	0.00209764089733246	1.44926628176442	0.770341045211123	0.861353970803434	0.754917598927503	1.61194681587429	1.46848401981966	0.00568478079587856	0	0.000836093142554861	0	1.42489600152248	0.000232635791878757	0.998993732206154	0.0424253697491699	0	9.01651590689867e-05	0.249207454761468	0.0254584119713831	0	0	0.0808146698019296	0.177924072716282	0.0925420462168312	0	0.0667133000481576	0.000460049126632832	0.0416940481400618	7.81312483220003e-05	0	0.164784924154885	0	0.0405888684579231	0	0.00842311827613067	0	0	0.0206541307210814	0.00841921023395607	0	0.000616632886633419
MR03	1.08749788532602	0.866481864157937	1.8338434578394	0.934083760883458	1.17408492826042	1.36229973549851	0.20911190902205	1.71764039320486	0.344172866143179	0.290353692521311	0.000205966888885566	0.20183338001665	1.81650042014985	0.272493301036461	0.0509045840472743	0.458069089353915	0	0	0.875765325181443	1.13847560342854	1.86942759507059	0	1.10189431586325	1.30502776800866	0.32988767166668	0	2.26833636825899	1.70893474234199	0.161620019051342	0.0128962370466533	0.291505700011938	0.804589505445693	1.33671473610961	0.249165534583559	0.337116665307734	0.0483074299222526	0.168129186050634	0	0	0.142510378320017	1.28455543600454	0	0.667586176068833	0.199674915800602	1.03366152900552	0	2.05603379350001	0.200210459348155	1.46139047318243	0.421406626350532	1.21004953718133	0.0450808741703329	2.33701185099044	0	0	1.24683833502954	1.85216863578745	0	0	0.909552306859664	0	0.585026060164072	1.78422440485387	0.514777618424874	0.186907007386175	0.556600708282745	0	0.653098031252757	0	1.2064096526426	0.306562434306515	0	0	0	0	0.233721115612065	0.110563879827159	0.76920011036823	0.241885297078999	0.643093572317032	0	0.625631481686498	1.76428714484965	1.78767471976584	0.534675066817194	1.62073252774031	1.0489138137472	1.75414638705769	0.876592042434565	1.13101185645714	1.11893340648267	1.76477125498148	1.55162052483429	0.667242522096136	1.15411649776324	0.0383250847766485	0	0.724025826249012	1.29757766985533	0	0.000678967293162147	0.655429033443625	0.656893049878135	0.837519277256077	0.00214330810658259	0.000517014323228404	0.415778312634541	1.57748964587579	0	0.37784881176424	5.92365931754372	0.0379143235714876	2.42195774626654	0	0.684125967362873	0.355931154151978	1.00851918361647	0.497249662657143	0.386166404462932	0.0527599331976581	1.51658630216967	0.0618328204669973	0	0.602840704226995	1.14741600897114	0	1.18239184430388	0	0.00218379622273844	1.43968562500568	0.709406877754649	0.838559503786328	0.79999678836518	1.68348776763665	1.51948531256373	0.00433491074221164	0	1.01677624945001e-05	0	1.4859146338971	0.00127575899995509	1.07290623432771	0.0494854243409316	0	8.26160412129086e-05	0.224018992126567	0.0236971047121	0	0	0.0894367200148311	0.204318968224529	0.104270568377268	0	0.064148438505219	0.000172483690307097	0.00225609530059416	0	0.15148258526216	0.153024758772358	0	0.0018589029268704	0	0.00343782254145137	0	0	0.0132425401281667	0.00507234685001164	0	0.00164677616506318
MR04	1.2166438066872	0.849267156439827	1.91122275868056	0.852497503967852	1.03792079249543	1.28127451810769	0.238635267504607	1.7430705534698	0.352164812707333	0.240988484062256	5.4734266071806e-06	0.138821393762591	1.24939254386332	0.216290442930088	0.0265037664490564	0.432894832013329	0	0	0.927992118245737	1.19842307934498	1.88152342614469	0	1.16681889156988	1.44180297732507	0.301453598447862	0.0431448587937695	2.55536150003027	1.87301054419836	0.140618950090414	0.0111462376443357	0.334903110988723	0.775536752828216	1.4058709554106	0.235864337560861	0.278933978358163	0.0361486331344443	0.174245068064163	0	0	0	1.38032826749106	0.41919288110151	0.615107418466052	0.168576520242546	1.02376829385251	0	2.29135353761782	0.110672554897153	1.73193700035446	0.390137485757375	1.2842226514706	0.0435625167004985	1.34615381147565	0	0	1.11409735269169	1.83306433624882	0	0	0.350761748881061	0	0.366955475350364	2.04993311112873	0.575047392740593	0.218795191245565	0.578049226374531	0.277387404650191	0.493262636278361	0.000302538550373869	1.24225803724947	0	0	0	0	0	0	0.0970581305395041	0.627483081340869	0.421352925559635	0.696333333503052	0	0.650395097046263	2.00744246395205	1.87050622631444	0.601780316476964	1.72912955129677	1.02677266356528	1.81692718483769	0.799374378372976	1.14785032004714	1.26533749864529	1.94760895700294	1.20821816453315	0.659468590641972	1.14913704507496	0.0306118589886627	0.0204951166513831	0.684148593398277	1.38839846821343	0	0.00165790651034606	0.639148215775232	0.616985324259468	0.777201833087379	0.00473705641952917	0.00334226438140029	0.393974625184089	1.80207290987371	0	0.436963158106955	5.77815737205971	0.0232092953150232	2.38038995396188	0	0.818056905043144	0.333514581216718	0.945085716170223	0.403554435868469	0.385501119095983	0.068214304576336	1.68528882806534	0.0561083891389306	0.00110998032592724	0.621267522924863	1.20587131652403	0.00461068750769775	1.26492686979394	0	0.015690489607251	1.47337204338117	0.759092679165195	0.900724487568464	0.866358970716888	1.73337685877725	1.57184309584555	0.0140670341305504	0	0	0	1.57316265597052	0	1.0788311315808	0.0446829439204025	0	0.000208445261206481	0.216745491163705	0.0182204525114228	0	0	0.0776549698636275	0.191387986872181	0.0992046832374958	0	0.0425557017757733	0.000113620033362631	0.00272255847216123	0	0.153451571229928	0.153737428621008	0	0.00248498008451174	0	0.0208981181697178	0	0	0.0137628484258467	0.0033438058000347	0	0.00020389505987039
MR05	1.18542478756419	0.810676940056517	1.82105490642025	0.825978858228805	1.1353767235807	1.34928877156977	0.240848536993194	1.74710810767092	0.345275015621994	0.236104376515556	0.000123597958006108	0.188850428753129	1.69965385877816	0.224910144772645	0.0269542426819719	0.441039824781053	0	0	0.889914717796624	1.14845599090669	1.81635906341044	0	1.08645322165168	1.37602759373051	0.312628709076635	0.0698625450970742	2.38840442360615	1.75306863033317	0.145263275343976	0.0344228283854096	0.285610090733109	0.780186243467431	1.37534374563169	0.253281328115019	0.302217478406505	0.0572766780371599	0.170589604261484	0	0	0.142400987124133	1.29833481138935	0	0.597250193931922	0.18920244246395	1.04255089460365	0	2.10752033996748	0.196044724522876	1.61897589202261	0.390873066711844	1.21215279654383	0.047155580909649	1.83323623640052	0	0	1.21123657155149	1.87525778820871	0	0	0.66220181884113	0	0.458400332660746	1.9097135137417	0.551925648550481	0.189579233964523	0.561450638665652	0	0.540969192793498	0.00114351200884068	1.21505237466972	0.331757986434214	0	0	0	0	0	0.0973074340043814	0.694098951312659	0.338470304896332	0.672166137317117	0	0.642013479724852	1.87142215512106	1.78193151606808	0.546472246252162	1.62712507030221	1.00757611245798	1.73984003013513	0.85288985158575	1.09726894659254	1.13479199573119	1.82357811539341	1.4350138213648	0.558533804546853	1.10621681487677	0.0655339579495599	0	0.691826988933024	1.2956324119688	0	0.0012334868481349	0.632142674378497	0.61454968735908	0.853726957012858	0.00186593567035245	0.00102409736633632	0.382319772053117	1.64269298941487	1.28422046019346	0.411261097928829	5.72405478820753	0.0293481938737411	2.56565036742544	0	0.733672551271216	0.344137638625138	0.924720131408534	0.409564296731102	0.464223789662534	0.0576012650514377	1.55940683598795	0.058373083312255	0	0.598066111447424	1.13454393659134	0	1.17852959758514	2.35424681916395e-06	0.00576947028108642	1.42772938148435	0.752500964789845	0.860009053608386	0.792895591109332	1.64875745411545	1.52281535289866	0.00235471766852779	0	3.46716349731417e-05	0	1.47859430244609	0	1.06208702541101	0.0470601287633183	0	3.36554936583089e-05	0.208974188861233	0.0206152827533503	0	0	0.0851499201611587	0.193816014215813	0.100172347382735	0	0.049967408386355	0.000114490740047763	0.00104036307163236	0	0.15083717217591	0.15776297618556	0	0.000762967346892483	0	0.00815354148370449	0	0	0.0173197085115526	0.009183189165269	0	0.000424545046131654
MR06	1.11449348057405	0.969134522289906	1.80535469941559	0.915973620074064	1.2306600553023	1.45785397831088	0.304234246729191	1.67329480480464	0.367350081260922	0.232616085986576	0	0.178279959537975	1.60451963584178	0.311430215745259	0.0974253832798631	0.448669093366624	0	0	0.837378449019391	1.09090789318467	1.82069245236584	0	1.08106875998931	1.32599979889244	0.375294285173252	0	2.21284162401327	1.63127811603006	0.167808469641821	0.016438574022705	0.184136692248526	0.785526873758701	1.34860763804695	0.276947570141827	0.311827297347558	0.0252982946486303	0.166349130716513	0	0	0.164543583791626	1.27311166052846	0.489579910975248	0.717239082145666	0.280544562479388	1.08897849269152	0	1.9824808589469	0.163300529421664	1.42167883139671	0.449905491656632	1.29519822911062	0.0495564242255472	2.79316248033099	0	0	1.33150210608248	2.27472660452665	0	0	1.18642223031846	0	0.718673565274369	1.73688571793333	0.51928812176994	0.237122502081902	0.557384515932836	0.3672855328849	0.778224734218807	0	1.20342944038097	0.23429085133941	0	0	0	0	0.28835603021279	0.109656012363689	0.750579544421213	0.253196686948668	0.691555364461201	0.0636707564019047	0.628587935905258	1.87371445139695	1.68362986198913	0.532109229034173	1.60220183688884	1.11308040398591	1.72699077855817	0.780080175136377	1.13142982711221	1.08277275526305	1.77919921324504	1.4517249652406	0.765460955333122	1.23128669435867	0.0238083699226234	0.070241224331649	0.708473000625064	1.22438033805281	0	0.000538881955326018	0.641958918056174	0.671436884098571	0.869477050307899	0.014209146840277	0.00256295995862572	0.415257960963779	1.49856253060211	0	0.320606044852503	4.13127937366346	0.0633539773310888	2.4591108333435	0	0.626043393398317	0.355236066437688	1.05496617288051	0.591302915317546	0.442771845450783	0.0529500953441696	1.42435211527883	0.055047644565151	0	0.593535728419106	1.05021540901066	0	1.15755400169676	2.20640492305933e-06	0.00379501646766204	1.41550396010218	0.68579224737922	0.84389666458345	0.757427313655992	1.5715555664059	1.3832622062425	0.00898756981358988	0	0.00134309885134593	0	1.49461225769403	0	1.01483027991795	0.0437434549316432	0	2.03372975516773e-05	0.259519878742287	0.0400044586207969	1.26456640366386e-05	0	0.077884124991909	0.20442749607935	0.108752707472614	0	0.0520317939203729	0.000768293419524239	0.00086671597023085	0	0.121249452298849	0.14301604977775	0	0	0	0.00579265135690149	0	0	0.00772644307107497	0.0104509056983066	0	0
MR07	1.10374035654872	1.02523827355859	1.665429577604	0.889843160026533	1.09525004533974	1.4203609996201	0.297099316337616	1.60111016659343	0.350648708903959	0.1990404882878	8.26188913443534e-05	0.205378104183486	1.84840293765138	0.365000333340907	0.0956814392806464	0.475548723385316	0	0	0.849805415007376	1.11698446251582	1.81856209244547	0	1.06772731155036	1.27258645430526	0.389170044893955	0.148335647080873	2.13139012618939	1.54413893801977	0.167298201751534	0.0421871042305241	0.219191604458923	0.789910723670607	1.35254500352121	0.265198756315768	0.331136486400156	0.0589253458765631	0.16024604084165	0	0	0.142145232812412	1.1963311844672	0	0.721950194495628	0.247415039690856	1.09536135277107	0	1.95732410047739	0.122318230837169	1.5077898309933	0.485174194089182	1.26217490244893	0.055764664902032	2.82738340603336	0	4.84595606554211e-05	1.27138027368796	2.0421705162932	0.694116320546273	0.314126139863488	1.18749035088556	0	0.838124095675632	1.73378815836986	0.489215810960698	0.205488525532216	0.569415968211497	0	0.761842815878032	0	1.19336125486827	0.236013306515216	0	0.278634217005069	0	0	0	0.130671117086092	0.758489407107757	0.258729572767561	0.656215591323188	0	0.645240876679605	1.73419399182193	1.73352157192848	0.52893064213132	1.55265270441859	1.13568084987335	1.5798583248033	0.870682453569834	1.17014580744638	1.03650684234666	1.72144846384634	1.63397922276961	0.916883646485991	1.18757394673408	0.0475104615216923	0.0551095294833526	0.670610059438065	1.2136323226966	0	0.00356202329508717	0.661544956074928	0.676889864203222	0.900178028375334	0.0228544607197247	0.00697560465000742	0.433609230831787	1.47699572129729	0	0.359720500190524	4.63764175930195	0.0703794228330285	2.54405074106964	0	0.653056987824929	0.351260854720226	0.717686004416471	0.403778516228196	0.304763485566273	0.050049057883729	1.42498020623523	0.0536293734332951	0.000631078779931425	0.605361970971454	1.05449135827576	0.00239659768022492	1.15027218677718	0	0.00198892015649269	1.37497059663865	0.760132961939408	0.856980242539272	0.747196609810158	1.595305021782	1.43615460101184	0.0274888348881282	0	0.000230335408234195	0	1.42689979893276	0	0.980967594602811	0.05356238642758	0	0.00038421894691344	0.237447284557546	0.0393761827640612	0	0	0.0943509094013013	0.18957752894252	0.108356336538563	0	0.0688965125629437	0.000246973725796489	0.0268306512614201	0	0.150543079472954	0.153338705314401	0	0.0263055486145617	0	0.00604038068962847	0	0	0.0228087921239038	0.00700573090834494	0	0.0020423056216791
MR08	1.134627579131	0.996663575416329	1.86145523473685	1.00876899624509	1.19971469128703	1.34441712584477	0.314199794990493	1.55427674266096	0.351223252924357	0.363859971106948	5.18891697206628e-05	0.180029244389582	1.62026319950624	0.298995197586003	0.0793231058388519	0.462251250190237	0	0	0.840188601317782	1.12793459281753	1.81231879071566	0	1.11027428058189	1.31074240260017	0.401976819093671	0.130770343783108	2.19269315283408	1.62173840164752	0.184221409522274	0.0562109429309315	0.293600909439331	0.770004868713454	1.34910764904153	0.243551084045245	0.320503764055961	0.0480919288900668	0.143118517887907	0	0	0.166019595601192	1.21145465626027	0.431045518373823	0.65256316546223	0.151566065058193	1.03867555699544	0	2.00572584282557	0.145965194721558	1.62039256369877	0.399843926057704	1.21575274288912	0.061123075806476	2.45193526186515	0	0	1.2895369204252	1.99631640067541	0	0	1.1228886717819	0	0.675575699860762	1.79160864493596	0.521177113798143	0.221333464363366	0.560332050453348	0	0.664146311637694	1.34492570872858e-05	1.18391697856998	0.142176306112501	0	0.218292159721447	0	0	0	0.108830951589089	0.72238238285454	0.253335708464925	0.652332880743003	0	0.62990884309886	1.72608293239679	1.76668182486833	0.559784332317913	1.65983882605045	1.12420861952832	1.49119360250783	0.8245151539752	1.11326627489397	1.11262496552286	1.72261206903516	1.39179831778228	0.909432436978136	1.19977215459644	0.0263036319915009	0	0.695637724096195	1.25600549605533	0	0.0041153240316436	0.66507160116652	0.648887759210045	0.82733777690014	0.0111823644275616	0.00217027197414949	0.429181095581503	1.53818939278154	0	0.360303824511772	5.01474791088152	0.0442207319192963	2.38943990611714	0	0.730506898567692	0.374281944586353	1.30646199498569	0.752812129947345	0.377826249704674	0.051230688427685	1.48992270099861	0.0566978611277516	0	0.585821911695147	1.15082236450344	0	1.18793933688789	0	0.00195628019934104	1.39969100819066	0.746855516008062	0.835694639087603	0.739282429854993	1.62302362674194	1.46650069949629	0.0150594490143989	0	0	0	1.49923094951766	0	0.948794260060811	0.0551154923344578	0	6.27336668968215e-05	0.229392186458017	0.0441382820079549	0	0	0.0817193468418223	0.209236947552488	0.112907525338323	0	0.064977526997949	0.00327790784975053	0.00174212586636326	0	0.146240599797278	0.137626313273824	0	0.00154733702789224	0	0.00416864704626753	0	0	0.0128511862852548	0.00650915020293546	0	0.000130014847719795
MR09	1.1056135182578	1.04541028956588	1.69213008187986	1.02236303069666	1.16042431593606	1.39615932461273	0.280658334460564	1.79446999390733	0.345258452727362	0.222228626416658	0.000305499865884351	0.227852940292944	2.05067646263649	0.409867924933828	0.0541211784092634	0.467503778205329	0	0	0.82858819164592	1.09022667373317	1.85201753121401	0	1.08241461320692	1.22809706686272	0.407618842790316	0.138142143993607	2.02142457944313	1.53986353471671	0.16425972831771	0.0124878249480881	0.166732404153213	0.822135761465839	1.30280944343246	0.255421928925895	0.37613282788825	0.0306650017668587	0.16483131548875	0	0	0.117791230652184	1.17661766149362	0.479037316357351	0.701939201906157	0.248855731818476	1.08397618475668	0	1.88724851189205	0.11874742979712	1.35596584151278	0.470339813633101	1.12806316486015	0.05316729606789	3.18142775394305	0	0	1.2839222006101	1.85766326688812	0	0	1.32974258835479	0	0.820803043101969	1.61153058359068	0.445878995838681	0.200793062694425	0.50040267032125	0.3116616877576	0.708439053859925	0	1.20802259100186	0.323506837738256	0	0	0	0	0	0.142014878683019	0.773385230864178	0.208345313836789	0.654974776676699	0	0.623540239406226	1.43396665618578	1.78653860744087	0.524174011849519	1.5528722097689	1.19108898277696	1.61604029769321	0.856296493560365	1.22881045422205	1.02668141648494	1.65934274588736	1.82765879263852	1.04291868119072	1.21232289637983	0.0190440939459358	0	0.666639698004049	1.24245346068921	0	0.00343476248929081	0.673688451477023	0.6872039893316	0.926084398294686	0.00906214610774053	0.00876158892471217	0.403207016886106	1.40205025396728	0	0.375250201496608	5.24636730598064	0.0608631003591716	2.63560108151492	0	0.584566574571129	0.343167756557455	0.780649973918081	0.464986570395735	0.352181322486757	0.0486583093470084	1.38847066735013	0.0525308971285786	0	0.597424883003954	1.01422504429336	0	1.10887559825947	0	0.000893188362906858	1.43166101802527	0.737790703446591	0.800061080806739	0.74057242048819	1.56838126066248	1.44858875823248	0.016018498991912	0	0.000532968440723543	0	1.34556054061891	0	0.919050484725976	0.0576897305042578	0	0.000113515577894517	0.252032741129436	0.0324219586854036	4.83438018302873e-06	0	0.100985039040663	0.189560519343284	0.0909069448304475	0	0.0993103122192479	0.000572384445402427	0.00736178162393555	0	0.157290737122009	0.140490891112239	0	0.00685441488439428	0	0.00510285382408401	0	0	0.0259300131949349	0.00337912520512313	2.56050175701918e-06	0
MR10	1.12792970245905	0.949753649886333	1.84147018477292	1.07682130730427	1.21640376018001	1.31364393833204	0.345329822482246	1.42638088794968	0.355710314786664	0.30274776480563	0	0.145981786833834	1.3138360815045	0.342532792443198	0.0758009514507926	0.436541127698044	0	0	0.869305271546956	1.09773948145798	1.84071238839651	0	1.12251409354834	1.33725331057749	0.383187559378606	0.14482040946231	2.2494318372348	1.65782070310712	0.163655168787876	0.0287650548328179	0.267069817889858	0.828768101454995	1.31232451790772	0.270099136033645	0.361200660041997	0.0290153847840356	0.161080610745974	0	0	0.162000967985247	1.30126235497588	0.538306670819796	0.756897424191256	0.174234011581548	1.13781097387042	0	1.99415977604992	0.126131607115633	1.44969059831535	0.505718335190944	1.14342695426102	0.066005374025895	2.34811022179036	0	0.000410989472148281	1.18450102230134	1.76994933103763	0	0	0.826025637096346	0	1.05473238996211	1.71383551094158	0.530224417823811	0.229501993127404	0.534455884312707	0	0.648737989468392	0	1.16155690111685	0.197660450823137	0	0	0	0	0	0.131195410368429	0.850894815640159	0.330903237693609	0.625514390007832	0	0.687880685789496	1.79375240138109	1.79275261541253	0.563210517992266	1.71811553108607	1.06620105060404	1.74994219469626	0.905285245213808	1.12297924184355	1.10759542903527	1.84314383008112	1.8294429434527	0.852593491083184	1.40764824344855	0.0150433552255737	0	0.68865377921128	1.19867278269249	0	0.00133886789906566	0.654637353982634	0.706703021958653	0.901746861014072	0.0258052227089007	0.000820763673991359	0.496970206758544	1.52982398225902	0	0.351026690233059	5.71861590657026	0.0708163152908765	2.26185652986592	0	0.742386020262819	0.352250829429448	0.661516940337953	0.267824468630595	0.479076034254419	0.0507564803748965	1.44477447269115	0.056327509897109	0.000193732411113668	0.611203449930289	0.964629288050337	0	1.15623236184042	1.37651976317606e-06	0.000363630637439009	1.39209325352511	0.722251690382488	0.844553068720216	0.714016298477756	1.55834831643485	1.43535353013638	0.00763183852297704	0	7.2580132967465e-05	0	1.46490546052921	0	1.01767625268872	0.0494073041623076	0	9.58935535889086e-05	0.238149843623521	0.0413834681408085	0	0	0.0702974771970246	0.182587284112406	0.092253112130735	0	0.066407464959219	0.000537325697029252	0.0181564374995406	0	0.171909318786073	0.140758397964018	0	0.0157407255112349	0	0.00406105448931411	0	0.000367852940967899	0.00313855682802563	0.00723062472473131	0	0.000500690951753144
