	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Anaerofustaceae	Anaerovoracaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	Campylobacteraceae	Carnobacteriaceae	Caulobacteraceae	Chloroplast	Christensenellaceae	Clostridia_UCG-014	Clostridia_vadinBB60_group	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Coriobacteriales_Incertae_Sedis	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Fusobacteriaceae	Gastranaerophilales	Gemellaceae	Hafniaceae	Hyphomonadaceae	Izemoplasmatales	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Marinifilaceae	Micrococcaceae	Monoglobaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Neisseriaceae	Nocardiaceae	Oscillospiraceae	Oscillospirales	Oxalobacteraceae	P5D1-392	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	RF39	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Saccharimonadales	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Syntrophomonadaceae	Tannerellaceae	UCG-010	Veillonellaceae	Victivallaceae	Weeksellaceae	Xanthomonadaceae	Yersiniaceae	[Clostridium]_methylpentosum_group	[Eubacterium]_coprostanoligenes_group	vadinBE97
MR01	0	0.307922992475969	0.00535518247784293	0	0.645299488580073	0	0.40163868583822	0	0	28.4627948697352	0.0107103649556859	4.42338072669826	0	0.672075400969288	0	0	0	0	0.698851313358503	1.46999759016789	0.797922189198597	1.25579029105417	0	0.722949634508796	0	0	0	0.10978124079578	0	0.629233941146545	0	0.0267759123892147	0.728304816986639	0.184753795485581	2.31611642166707	0	0	0	0.289179853803518	0	0	0	0	21.8009478672986	0.152622700618524	0	0.514097517872921	0	0.0428414598227435	0	0	0	0	0	5.6631054703189	0	0.0696173722119581	0	0	0.0535518247784293	2.61868423166519	0	0	0	0	0	0	0	4.90802474094305	14.6383913031837	0	0	0	0	0.246338393980775	0	0.498031970439393	0.040163868583822	0	1.78059817388278	0.0374862773449005	0	0.166010656813131	0	0	0	0	0.974643210967414	0
MR02	0	12.9450588261263	0.0297993510363552	0	0	0	0.00662207800807894	0	0	31.1546696686754	0	2.36518552855219	0	0.0695318190848288	0.00551839834006578	0	0	0	0	0	0	4.23592256583449	0	0	0	0.00441471867205262	0	0.260468401651105	0	0.294682471359513	0	10.9297397523343	0.0684281394168157	0.231772730282763	0.644548926119683	0	0.0441471867205262	0.00220735933602631	0	0.00441471867205262	0	0	0	26.0424254464384	0.364214290444341	0	0	0	0	0	0.0176588746882105	0	0	0	1.70518508708033	0	0	0.014347835684171	0	0	1.84755976425402	0	0	0	0	0	0	0	0.258261042315078	0.588261263051012	0	0	0.00441471867205262	0	2.68966735094806	0	1.60143919828709	0	0	0.523144162638236	0	1.04076992693641	0	0	0	0	0	0	0
MR03	0	0	0	0	0.192513068405373	0	0.0393457366083975	0	0	26.8604912596257	0.680119161373728	5.92012815468495	0	0.733516946770839	0	0	0	0	0.222022370861672	0.823450059018605	0	0.265583722106683	0	0.78691473216795	0	0	0	0.369568883143162	0	0.0224832780619414	0	0.647799449159687	0.512899780788039	0.852959361474903	4.31257377325614	0	0.00421561463661402	0	0	0.00843122927322804	0	0	0	32.6611769996065	0	0	0.834691698049576	0.00421561463661402	0.386431341689618	0	0	0	0	0	2.68956213815974	0	0	0.0182676634253274	0.0941487268843798	0	1.46422348378394	0	0	0	0	0	0	0	1.45298184475296	10.4462930695295	0	0.00843122927322804	0	0.00281040975774268	1.86751728402001	0	2.15277387443089	0	0	0.0843122927322804	0.0295093024562981	2.32842448428981	0	0	0	0	0	0.219211961103929	0
MR04	0	1.2321538835769	0.0224538293134742	0.00561345732836854	0.00467788110697378	0	0.179630634507793	0.0467788110697379	0	11.8612353348427	0.497726549782011	14.7212918436465	0	0.0065490335497633	0	0	0	0	2.7664988866643	1.05813670639747	0.0542634208408959	0.923413730516625	0	5.79495911531913	0.0112269146567371	0.0130980670995266	0.0757816739329753	0.115075875231555	0	0.432236214284378	0	0.678292760511199	0	1.11146455101697	0.471530415582958	0	0.034616320191606	0	0	0	0	0	0	24.5242594914208	0.00280672866418427	0	0.700746589824673	0.00280672866418427	0.144078738094793	0	0	0	0	0	4.82102426884718	0	0.0130980670995266	0	0.00748460977115806	0.0243249817562637	1.3734258930075	0.00842018599255281	2.71972007559456	0	0	0	0	0	2.59154613326348	15.6821286230189	0.00467788110697378	0	0	0	0.509889040660143	0	0.638998559212619	0	0	1.32945381060195	0.194599854050109	0.129109518552476	0.00561345732836854	0	0	0	0	2.00400426622757	0.00561345732836854
MR05	0	1.29360335444732	0.0702560442501561	0	0.0970202515835489	0.00446070122223213	0.216344009278259	0.0234186814167187	0	20.3073423142118	0	7.50624498171112	0	0.206307431528236	0	0	0	0	0.721518422696048	0.564278704612365	0	1.30921580872513	0	3.41020608439647	0	0	0	0.18734945133375	0	0.331207065750736	0	0.285484878222857	0.0200731555000446	1.94152020697654	2.26826657150504	0	0	0	0	0.0546435899723437	0	0	0	29.0313587295923	0.0133821036666964	0	0	0	0.0289945579445089	0	0	0.362431974306361	0	0	1.24342046569721	0	0	0	0.0167276295833705	0	0.635649924168079	0	1.05384066375234	0	0	0	0	0	1.22557766080828	15.901284681952	0.00223035061111607	0	0	0.00780622713890624	5.93607815148541	0.0133821036666964	0.969087340529931	0.00557587652779017	0	0.207422606833794	0	1.01034882683558	0	0	0	0	0	1.50771701311446	0
MR06	0	0	0.0231644783254188	0	0	0.0168468933275773	0.248491676581765	0.124245838290883	0	23.27819485538	0	9.07205205690038	0	0.886567761363756	0	0	0	0	0.00842344666378866	0	0	0.290608909900709	0	1.92791635517463	0	0.0789698124730187	0	0.701251934760406	0	0.279026670737999	0	0.953955334674065	0.0947637749676224	0.788645193897213	0.765480715571794	0	0.00421172333189433	0.0147410316616301	0	0.0105293083297358	0.00526465416486791	0	0	32.362882082276	0.012635169995683	0	0	0	0.0157939624946037	0	0	0	0	0	0.911838101355122	0	0	0	0.259020984911501	0	1.67521295526097	0.0210586166594716	0.0157939624946037	0	0	0	0	0	0	17.497604582355	0	0	0.00421172333189433	0	0.788645193897213	0	2.57546881745338	0	0	0.52330662398787	0	3.24092110389269	0	0	0	0	0	0.496983353163531	0
MR07	0	4.29507326829667	0.0785746356994163	0	0.0775541858851382	0	0.0897995836564758	0.0214294460998408	0	36.942324176497	0.637781133923834	3.53687905628801	0	0.211233111555574	0.00510224907139067	0	0	0	0.117351728641985	0	0	0.147965223070329	0	1.15310829013429	0	0	0.0163271970284501	0.36634148332585	0	0.184701416384342	0	7.59010571860076	0	0.558186048410139	0.4153230744112	0.0265316951712315	0.19694681415568	0.0142862973998939	0	0	0	0	0	17.1425364300584	0	0	0.593901791909874	0	0.0632678884852443	0	0	0	0	0	2.60826972529491	0	0	0	0.00204089962855627	0.0122453977713376	4.59814686313727	0.0122453977713376	0.0755132862565819	0	0	0	0	0	3.40728192987469	12.9433854443039	0.0091840483285032	0	0	0	0.0387770929425691	0	0.509204457324789	0.0969427323564227	0	0.219396710069799	0	0.037756643128291	0.00408179925711254	0	0	0	0	0.712273970366137	0
MR08	0	0	0.00562999662200203	0	0.052921968246819	0	0.0653079608152235	0	0	22.5413804751717	1.07420335547799	2.35784258529445	0	0.11034793379124	0.00900799459520324	0	0	0	7.11969372818376	0.0112599932440041	0.109221934466839	1.90631685620989	0	5.29107082535751	0	0.00225199864880081	0.00900799459520324	1.6687309987614	0	0.447021731786961	0	0.512329692602184	0	0.0653079608152235	0.480801711518973	0	0.00562999662200203	0.0101339939196036	0.0258979844612093	0	0	0	0.0765679540592276	20.1722778966333	0	0	0.958225425064745	0	0.00788199527080284	0	0	0	0	0	5.43519873888076	0	0.0304019817588109	0	0.0123859925684045	0.0123859925684045	0.973989415606351	0.0112599932440041	0.256727845963292	0	0	0	0	0	3.0615921630447	11.5426190744286	0	0	0	0	0.298389820966107	0	0.120481927710843	0	0	10.4661637203018	0.0608039635176219	0.574259655444207	0	0	0	0	0	0.66771759936944	0
MR09	0	1.63787052202505	0.0184722239326133	0	0	0	0.205657426449762	0	0	44.66830043225	0	1.89648165708163	0	0.245064837506003	0	0	0	0	0.853416745686736	0	0.0467963006292871	1.03444454022635	0	1.18345381328276	0	0	0.0172407423371058	0	0.0147777791460907	0.169944460180043	0	2.32011132593623	0	1.83613905890176	0.375601886629804	0.0270925951011662	0	0	0	0.00492592638203022	0	0	0	16.1853626097558	0	0	0	0.011083334359568	2.13785204980112	0.00246296319101511	0	0	0.00246296319101511	0	5.81382461239117	0.0369444478652267	0	0.0172407423371058	0.0295555582921813	0	1.32137975197961	0	1.01720379788924	0	0	0	0	0	3.47647254411783	9.2582786350258	0	0	0	0	0.0701944509439306	0	2.64891691193675	0	0	0.532000049259264	0	0.00985185276406044	0	0	0	0	0	0.577564868293043	0
MR10	0	4.01058970099668	0.0737126245847176	0	0	0	0.198297342192691	0	0	28.8963870431894	0.0269933554817276	0.4703073089701	0	0.561669435215947	0	0	0	0	0.00311461794019934	0	0	0.095514950166113	0	6.60506644518272	0	0	0	0.556478405315615	0	0.363372093023256	0	6.83658637873754	0.203488372093023	0.339493355481728	0.756852159468439	0.216985049833887	0	0	0	0.00207641196013289	0	0	0	20.562707641196	0.462001661129568	0	0.39140365448505	0.00207641196013289	0	0	0	0	0	0	0.731935215946844	0	0	0	0	0	0.501453488372093	0	0	0	0	0	0	0	2.39098837209302	0.761004983388704	0	0	0	0	1.31955980066445	0	2.01204318936877	0	0	1.11814784053156	0	19.516196013289	0	0	0	0	0	0.00934385382059801	0
